tax_seq_id,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0008152,GO:0009987,GO:0071704,GO:0110165
O67056,1,0,1,1,0,0,0,0,0,0
A0A6G9KHD3,0,0,0,0,1,0,0,0,0,1
P12579,1,0,1,1,1,0,0,0,0,1
O60020,1,1,0,0,1,1,1,0,1,1
B3FTL2,1,1,0,0,0,0,0,0,0,0
Q93MW7,1,1,0,0,0,0,0,0,0,0
Q3HM11,0,0,0,0,0,1,0,0,0,0
Q1D4V7,1,0,1,1,0,0,0,0,0,0
P86242,1,0,0,0,1,1,0,0,0,1
W2SDE2,1,0,1,1,0,0,0,0,0,0
Q9U1N0,0,0,0,0,1,0,0,0,0,1
Q2V0W1,1,1,1,1,0,1,1,1,1,0
P72578,1,1,0,0,0,0,0,0,0,0
Q62L02,1,1,1,0,0,1,1,1,1,0
Q9RR46,1,0,0,0,0,1,0,0,0,0
P84759,0,0,0,0,1,1,0,0,0,1
Q9FPP8,1,1,0,0,1,1,1,1,1,1
P08617,1,1,0,0,1,1,0,0,0,0
Q84940,1,0,1,1,0,0,0,0,0,0
P45689,1,0,0,0,1,0,0,0,0,1
P85528,1,0,0,0,1,1,0,0,0,1
Q8GAK7,1,1,1,0,0,1,1,0,1,0
P11193,0,0,0,0,0,1,0,0,0,0
C0HM57,0,0,0,0,1,0,0,0,0,1
B3NV41,0,0,0,0,1,0,0,0,0,1
Q2KS03,0,0,0,0,1,1,0,0,0,1
P15571,0,0,0,0,0,1,0,0,0,0
D6WMX4,1,1,1,1,0,1,1,1,1,0
Q8WT56,0,0,0,0,1,0,0,0,0,1
Q5S260,1,1,0,0,0,1,0,1,0,0
Q65652,1,1,0,0,0,0,0,0,0,0
C0HLV0,1,1,0,0,0,0,0,0,0,0
Q96WT2,1,1,0,0,0,1,1,1,1,0
Q9QMH9,1,0,1,1,0,0,0,0,0,0
B2BUF1,1,0,1,1,0,0,0,0,0,0
Q68VC1,0,0,0,0,0,1,0,0,0,0
P83246,1,1,1,1,0,1,1,0,1,0
E0XKJ9,1,1,0,0,0,1,1,0,1,0
P60164,1,0,0,0,1,0,0,0,0,1
Q7WTU1,1,0,1,1,1,0,0,0,0,1
Q9M653,1,1,0,0,0,0,0,0,0,0
B2UP57,1,1,0,0,0,1,1,0,1,0
Q7M8G0,1,1,0,0,0,1,1,1,1,0
P83335,0,0,0,0,0,1,0,0,0,0
P04273,1,0,1,1,0,1,1,1,1,0
A0A151CBU1,1,0,1,1,1,0,0,0,0,1
P0DUQ3,1,1,0,0,0,1,0,0,0,0
P69687,1,0,1,1,0,0,0,0,0,0
G8SD34,1,1,0,0,0,1,1,1,1,0
D0U1P6,1,0,1,1,0,0,0,0,0,0
Q3AF10,1,0,1,1,0,0,0,0,0,0
O93428,1,1,0,0,0,1,1,0,1,0
O68195,1,0,1,1,0,0,0,0,0,0
O53872,0,0,0,0,1,0,0,0,0,1
D2ZZC1,1,0,1,1,1,1,0,1,0,1
P86783,0,0,0,0,0,1,0,0,0,0
P0DKB4,1,1,0,0,0,0,0,0,0,0
C0HKQ3,1,0,0,0,0,1,0,0,0,0
Q9BP38,1,0,1,1,1,1,0,0,0,0
A8W9Z0,1,0,1,1,0,0,0,0,0,0
Q7WUM3,0,0,0,0,0,1,1,1,1,0
A7TJH8,1,0,1,1,0,0,0,0,0,0
B8QIR1,0,0,0,0,0,1,0,0,0,0
A8RG82,1,1,1,0,0,0,0,0,0,0
Q0MWV8,0,0,0,0,0,1,0,0,0,0
Q32ZD5,1,1,0,0,0,0,0,0,0,0
C1PGW1,0,0,0,0,1,1,0,1,0,1
A1JSP4,0,0,0,0,0,1,0,0,0,0
F8WSY7,1,1,0,0,0,0,0,0,0,0
Q5TLG6,1,0,1,1,0,0,0,0,0,0
Q27128,1,1,0,0,0,1,1,1,0,0
Q8I8W7,1,0,1,1,0,1,0,0,0,0
O13134,1,0,0,0,0,0,0,0,0,0
P21231,1,0,1,1,1,0,0,0,0,1
Q5J4V8,0,0,0,0,1,0,0,0,0,1
P21683,1,1,0,0,0,1,1,1,1,0
P94135,0,0,0,0,0,1,1,1,1,0
