Saccharum officinarum	Sugar Cane
Zea mays	Corn
Zea mays ssp. Mays	Common Corn-Variations
Zea mays ssp. mexicana	Corn- Subspecies
Oryza australiensis	Australian Rice
Oryza barthii	Wild Rice
Oryza rufipogon	Wild Red Rice
Oryza glaberrima	African Rice
Oryza latifolia	Broadleaf Rice
Oryza longistaminata	Longstamin wild rice
Oryza nivara	Wild Asian Rice
Oryza perennis	Brown Bread Rice
Oryza punctata	Red Rice
Oryza sativa	Asian Rice
Oryza sativa var. japonica	Japanese Rice
Glycine clandestina	Love Creeper
Glycine max	Soybean
Glycine soja	Wild Soybean
Glycine tabacina	Variation of common Soybean
Glycine tomentella	Hairy Soybean
Glycine wightii	Perennial Soybean
Triticum aestivum	Common Wheat
Triticum compactum	Club Wheat
Triticum durum	Pasta Wheat
Triticum sativum	Variation of common Wheat
Cucumis melo	Muskmelon
Cucumis metuliferus	Spiked Melon
Cucumis sativus	Cucumber
Solanum acaule	Wild Potato
Solanum capsicastrum	Winter Cherry
Solanum carolinense	Radical Weed
Solanum chacoense	Chaco Potato
Solanum commersonii	Commerson's Nightshade
Solanum demissum	Wild Potato
Solanum demissum x S. tuberosum	Wild Potato Subspecies
Solanum dulcamara	Bitter-Sweet Nightshade
Solanum giganteum	Healing-leaf tree
Solanum integrifolium	Scarelet Eggplant
Solanum jasminoides	Potato vine
Solanum melongena	Common Eggplant
Solanum muricatum	Pepino
Solanum nigrum	Black Nightshade
Solanum nitidibaccatum	Green Nightshade
Solanum nodiflorum	Variation of Black Nightshade
Solanum pennellii	Tomato
Solanum pseudocapsicastrum	Winter Cherry
Solanum rostratum	Spiny Nightshade
Solanum seaforthianum	Brazilian Nightshade
Solanum sodomaeum	Deadly Nightshade
Solanum spegazzinii	Orange berry nightshade
Solanum tuberosum	Irish Potato
Solanum tuberosum ssp. andigena	Irish Potato subspecies
Solanum tuberosum ssp. andigena x S. tuberosum ssp. tuberosum	Irish Potato subspecies
Solanum tuberosum ssp. tuberosum	Irish Potato subspecies
Brassica actinophylla	Unknown
Brassica campestris	 wild mustard
Brassica campestris ssp. Chinensis	 wild mustard subspecies
Brassica campestris ssp. Napus	 wild mustard subspecies
Brassica campestris ssp. pekinensis	 wild mustard subspecies
Brassica campestris ssp. rapa	 wild mustard subspecies
Brassica carinata	Ethiopian Mustard
Brassica juncea	Indian Mustard
Brassica napus var. napobrassica	Swedish turnip
Brassica nigra	black mustard
Brassica oleracea	wild cabbage
Brassica oleracea var. acephala	Ornamental Cabbage
Brassica oleracea var. botrytis	Broccoli
Brassica oleracea var. capitata	Cabbage
Brassica oleracea var. gemmifera	Brussel Sprouts
Brassica oleracea var. viridis	Cauliflower
Daucus carota	Carrot
Daucus carota ssp. Sativus	Varaition of Carrot
Spinacia oleracea	Spinach
