source,target
P52560,nucleobase-containing compound metabolic process
P52560,purine nucleotide metabolic process
P52560,purine nucleotide biosynthetic process
P52560,cellular aromatic compound metabolic process
P52560,nucleoside phosphate metabolic process
P52560,phosphorus metabolic process
P52560,phosphate-containing compound metabolic process
P52560,nitrogen compound metabolic process
P52560,biological_process
P52560,metabolic process
P52560,biosynthetic process
P52560,nucleotide metabolic process
P52560,purine ribonucleotide metabolic process
P52560,purine ribonucleotide biosynthetic process
P52560,nucleotide biosynthetic process
P52560,ribonucleotide metabolic process
P52560,ribonucleotide biosynthetic process
P52560,cellular process
P52560,guanosine tetraphosphate metabolic process
P52560,guanosine tetraphosphate biosynthetic process
P52560,heterocycle biosynthetic process
P52560,aromatic compound biosynthetic process
P52560,organophosphate metabolic process
P52560,ribose phosphate metabolic process
P52560,nucleoside bisphosphate metabolic process
P52560,nucleoside bisphosphate biosynthetic process
P52560,ribonucleoside bisphosphate metabolic process
P52560,ribonucleoside bisphosphate biosynthetic process
P52560,purine nucleoside bisphosphate metabolic process
P52560,purine nucleoside bisphosphate biosynthetic process
P52560,purine ribonucleoside bisphosphate metabolic process
P52560,purine ribonucleoside bisphosphate biosynthetic process
P52560,cellular nitrogen compound metabolic process
P52560,nucleobase-containing compound biosynthetic process
P52560,cellular metabolic process
P52560,primary metabolic process
P52560,cellular biosynthetic process
P52560,cellular nitrogen compound biosynthetic process
P52560,small molecule metabolic process
P52560,ribose phosphate biosynthetic process
P52560,heterocycle metabolic process
P52560,nucleobase-containing small molecule metabolic process
P52560,organic substance metabolic process
P52560,purine-containing compound metabolic process
P52560,purine-containing compound biosynthetic process
P52560,organophosphate biosynthetic process
P52560,carbohydrate derivative metabolic process
P52560,carbohydrate derivative biosynthetic process
P52560,nucleoside phosphate biosynthetic process
P52560,organic cyclic compound metabolic process
P52560,organic cyclic compound biosynthetic process
P52560,organonitrogen compound metabolic process
P52560,organonitrogen compound biosynthetic process
P52560,organic substance biosynthetic process
P70096,microtubule cytoskeleton organization
P70096,molecular_function
P70096,binding
P70096,protein binding
P70096,cellular_component
P70096,intracellular anatomical structure
P70096,cytoplasm
P70096,cytoskeleton
P70096,microtubule
P70096,cytoplasmic microtubule
P70096,organelle organization
P70096,cytoskeleton organization
P70096,microtubule-based process
P70096,microtubule depolymerization
P70096,biological_process
P70096,cellular process
P70096,microtubule cytoskeleton
P70096,cellular component organization
P70096,cellular component disassembly
P70096,midbody
P70096,microtubule polymerization or depolymerization
P70096,protein-containing complex disassembly
P70096,organelle
P70096,non-membrane-bounded organelle
P70096,intracellular organelle
P70096,intracellular non-membrane-bounded organelle
P70096,protein-containing complex organization
P70096,protein depolymerization
P70096,cellular component organization or biogenesis
P70096,supramolecular fiber organization
P70096,supramolecular complex
P70096,supramolecular polymer
P70096,supramolecular fiber
P70096,polymeric cytoskeletal fiber
P70096,cellular anatomical entity
Q9Z2Z3,cellular_component
Q9Z2Z3,intracellular anatomical structure
Q9Z2Z3,cytoplasm
Q9Z2Z3,peroxisome
Q9Z2Z3,microbody
Q9Z2Z3,organelle
Q9Z2Z3,membrane-bounded organelle
Q9Z2Z3,intracellular organelle
Q9Z2Z3,intracellular membrane-bounded organelle
Q9Z2Z3,cellular anatomical entity
G8XHD7,molecular_function
G8XHD7,catalytic activity
G8XHD7,organic acid metabolic process
G8XHD7,amino acid metabolic process
G8XHD7,nitrogen compound metabolic process
G8XHD7,biological_process
G8XHD7,metabolic process
G8XHD7,amino acid biosynthetic process
G8XHD7,biosynthetic process
G8XHD7,cellular process
G8XHD7,organic acid biosynthetic process
G8XHD7,lyase activity
G8XHD7,carbon-halide lyase activity
G8XHD7,carboxylic acid metabolic process
G8XHD7,oxoacid metabolic process
G8XHD7,cellular metabolic process
G8XHD7,primary metabolic process
G8XHD7,cellular biosynthetic process
G8XHD7,small molecule metabolic process
G8XHD7,small molecule biosynthetic process
G8XHD7,carboxylic acid biosynthetic process
G8XHD7,L-beta-ethynylserine biosynthetic process
G8XHD7,L-propargylglycine biosynthetic process
G8XHD7,L-propargylglycine synthase activity
G8XHD7,organic substance metabolic process
G8XHD7,terminal acetylenic compound biosynthetic process
G8XHD7,terminal acetylenic compound metabolic process
G8XHD7,acetylenic compound metabolic process
G8XHD7,acetylenic compound biosynthetic process
G8XHD7,organonitrogen compound metabolic process
G8XHD7,organonitrogen compound biosynthetic process
G8XHD7,organic substance biosynthetic process
G8XHD7,alpha-amino acid metabolic process
G8XHD7,alpha-amino acid biosynthetic process
W0T9X4,molecular_function
W0T9X4,binding
W0T9X4,protein binding
P04273,molecular_function
P04273,binding
P04273,copper ion binding
P04273,protein binding
P04273,nitrogen compound metabolic process
P04273,biological_process
P04273,metabolic process
P04273,cellular process
P04273,cellular component organization
P04273,protein metabolic process
P04273,identical protein binding
P04273,ion binding
P04273,cation binding
P04273,macromolecule metabolic process
P04273,primary metabolic process
P04273,metal ion binding
P04273,transition metal ion binding
P04273,molecular adaptor activity
P04273,organic substance metabolic process
P04273,cellular component organization or biogenesis
P04273,supramolecular fiber organization
P04273,organonitrogen compound metabolic process
P04273,sulfur compound binding
P04273,cupric ion binding
P04273,amyloid fibril formation
F4ZCI3,molecular_function
F4ZCI3,catalytic activity
F4ZCI3,cellular aromatic compound metabolic process
F4ZCI3,nitrogen compound metabolic process
F4ZCI3,biological_process
F4ZCI3,metabolic process
F4ZCI3,catabolic process
F4ZCI3,cellular process
F4ZCI3,hydrolase activity
F4ZCI3,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
F4ZCI3,"hydrolase activity, acting on acid anhydrides"
F4ZCI3,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
F4ZCI3,aromatic compound catabolic process
F4ZCI3,cellular nitrogen compound metabolic process
F4ZCI3,cellular metabolic process
F4ZCI3,cellular catabolic process
F4ZCI3,cellular nitrogen compound catabolic process
F4ZCI3,heterocycle metabolic process
F4ZCI3,heterocycle catabolic process
F4ZCI3,imidazole-containing compound metabolic process
F4ZCI3,nitroimidazole catabolic process
F4ZCI3,imidazole-containing compound catabolic process
F4ZCI3,organic substance metabolic process
F4ZCI3,organic cyclic compound metabolic process
F4ZCI3,organic cyclic compound catabolic process
F4ZCI3,organonitrogen compound metabolic process
F4ZCI3,organonitrogen compound catabolic process
F4ZCI3,organic substance catabolic process
Q5XXP2,cellular_component
Q5XXP2,membrane
Q5XXP2,cellular anatomical entity
O35210,angiotensin receptor activity
O35210,angiotensin type I receptor activity
O35210,peptide receptor activity
O35210,molecular_function
O35210,transmembrane signaling receptor activity
O35210,G protein-coupled receptor activity
O35210,G protein-coupled peptide receptor activity
O35210,signaling receptor activity
O35210,molecular transducer activity
O68195,molecular_function
O68195,binding
O68195,protein binding
B3A0L4,molecular_function
B3A0L4,catalytic activity
B3A0L4,cellular aromatic compound metabolic process
B3A0L4,biological_process
B3A0L4,metabolic process
B3A0L4,catabolic process
B3A0L4,phenylpropanoid metabolic process
B3A0L4,lignin metabolic process
B3A0L4,cellular process
B3A0L4,oxidoreductase activity
B3A0L4,"oxidoreductase activity, acting on diphenols and related substances as donors"
B3A0L4,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
B3A0L4,aromatic compound catabolic process
B3A0L4,secondary metabolic process
B3A0L4,cellular metabolic process
B3A0L4,cellular catabolic process
B3A0L4,phenylpropanoid catabolic process
B3A0L4,lignin catabolic process
B3A0L4,hydroquinone:oxygen oxidoreductase activity
B3A0L4,organic substance metabolic process
B3A0L4,organic cyclic compound metabolic process
B3A0L4,organic cyclic compound catabolic process
B3A0L4,organic substance catabolic process
Q8BK75,biological_process
Q8BK75,regulation of cell migration
Q8BK75,positive regulation of cell migration
Q8BK75,regulation of locomotion
Q8BK75,positive regulation of locomotion
Q8BK75,positive regulation of biological process
Q8BK75,positive regulation of cellular process
Q8BK75,regulation of biological process
Q8BK75,regulation of cellular process
Q8BK75,biological regulation
Q8BK75,regulation of cell motility
Q8BK75,positive regulation of cell motility
S0HPF7,molecular_function
S0HPF7,binding
S0HPF7,calcium ion binding
S0HPF7,cellular_component
S0HPF7,biological_process
S0HPF7,pilus
S0HPF7,pilus assembly
S0HPF7,cellular process
S0HPF7,membrane
S0HPF7,cellular component organization
S0HPF7,cellular component assembly
S0HPF7,cell projection organization
S0HPF7,cell projection assembly
S0HPF7,cell projection
S0HPF7,type IV pilus-dependent motility
